coefficient,erreur_standard,statistique_t,p_value,ic_95_basse,ic_95_haute
94.70602652304007,0.5924992920213487,159.8415859704144,0.0,93.54474924981274,95.8673037962674
-11.064153237507123,0.37099993447110313,-29.822520732463634,1.994802987950038e-195,-11.791299747337204,-10.337006727677041
-15.184389150797392,0.3954597877229913,-38.396796898686546,0.0,-15.959476092068309,-14.409302209526475
-14.970457142857326,0.236902054953172,-63.192601456397284,0.0,-15.43477663842907,-14.50613764728558
-11.016285714285724,0.2170137912771635,-50.76306740439392,0.0,-11.441624929337458,-10.59094649923399
-6.078142857142838,0.21199423416032848,-28.67126495782908,8.708374352215829e-181,-6.493643921027233,-5.662641793258444
-22.191819047619056,0.22430351979212376,-98.93656179887688,0.0,-22.631445868017185,-21.752192227220927
-0.029340008744361074,0.007879531047308756,-3.723572959888535,0.00019642306242646587,-0.044783605812151406,-0.013896411676570738
6.108483900707225,0.3472945045747639,17.58877212349388,3.0031453592003746e-69,5.427799179712006,6.789168621702443
