coefficient,erreur_standard,statistique_z,p_value,ic_95_basse,ic_95_haute
94.71635074291254,0.47353199257387407,200.02101701319827,0.0,93.78824509194025,95.64445639388482
-11.057468620754923,0.27863786218328124,-39.68401327125309,0.0,-11.60358879536339,-10.511348446146457
-15.218420882810587,0.3200409434373328,-47.551481130383884,0.0,-15.84568960552598,-14.591152160095195
-14.970457142858764,0.248456421474437,-60.25385479682212,0.0,-15.457422780676366,-14.483491505041163
-11.016285714287307,0.248456421474437,-44.338905184709596,0.0,-11.503251352104908,-10.529320076469705
-6.078142857144423,0.24845642147443694,-24.463617487019903,3.604920166641555e-132,-6.565108494962023,-5.5911772193268225
-22.191819047620704,0.248456421474437,-89.31875825919822,0.0,-22.678784685438306,-21.704853409803103
-0.0294221179001292,0.005906867715106153,-4.981001660979376,6.325599690590759e-07,-0.040999365883179664,-0.017844869917078742
6.10640947235664,0.28300276946783287,21.57720747340855,2.9410246409963966e-103,5.551734236674596,6.661084708038684
0.006831189463395306,0.00417804250252415,1.6350215344310803,0.10204453340596015,-0.0013576233674296254,0.015020002294220238
