statut,n_points_temporels,pente_par_an,interception,r,r2,p_value_pente,erreur_standard_pente,moyenne_debut,moyenne_fin,delta_debut_fin
REP,7,1.0680812919001024,-2082.2948454603716,0.9758989955447539,0.9523788495052596,0.0001709665827086897,0.10681060542828409,71.98014634146341,78.44374358974359,6.4635972482801805
REP+,7,0.8364775039039632,-1618.250856058023,0.936591676112168,0.8772039677626001,0.0018789068268513607,0.13996232133483394,69.77856,74.15823076923077,4.379670769230771
Hors EP,7,0.8112835261805732,-1557.10336053581,0.9693584777867835,0.9396558584571101,0.0003105011193855062,0.0919434506751433,78.59407142857144,84.15456470588236,5.5604932773109255
